Pair ID,Group,Round,Proposer,Offer A (€),Offer B (€),Response,Timestamp,,,,,,Anzahl ,Fehler
Pair_pdiqJ9,3,1,Person B,500,500,Too low - counteroffer,12/04/2025 15:25:15,,,,,Gruppe 1,47,
Pair_pdiqJ9,3,2,Person A,817,183,Not accept,12/04/2025 15:25:31,,,,,Gruppe2,36,
Pair_QxgMN1,1,1,Person A,350,650,Too low - counteroffer,12/04/2025 15:29:01,,,,,Gruppe3,33,
Pair_QxgMN1,1,2,Person B,300,700,Better offer outside option,12/04/2025 15:29:14,,,,,Gruppe4,38,
Pair_QxgMN1,1,3,Person A,1000,0,Too low - counteroffer,12/04/2025 15:29:28,,,,,Gruppe5,26,
Pair_QxgMN1,1,4,Person B,210,790,Accept - offer accepted,12/04/2025 15:29:39,,,,,Gruppe6,26,
Pair_AsaBHN,4,1,Person A,300,700,Too low - counteroffer,12/04/2025 17:08:32,,,,,Gruppe7,29,
Pair_AsaBHN,4,2,Person B,300,700,Accept - offer accepted,12/04/2025 17:10:14,,,,,Fehler,,
Pair_nZ-LX4,4,1,Person A,250,750,Better offer outside option,12/04/2025 17:08:05,,,,,Summe,235,
Pair_nZ-LX4,4,2,Person B,450,550,Accept - offer accepted,12/04/2025 17:10:21,,,,,,,
Pair__3h5XQ,3,1,Person A,250,750,Accept - offer accepted,12/04/2025 17:09:12,,,,,,,
Pair_VH56JI,1,1,Person A,300,700,Too low - counteroffer,12/04/2025 17:09:24,,,,,,,
Pair_VH56JI,1,2,Person B,201,799,Too low - counteroffer,12/04/2025 17:10:26,,,,,,,
Pair_VH56JI,1,3,Person A,350,650,Too low - counteroffer,12/04/2025 17:11:16,,,,,,,
Pair_VH56JI,1,4,Person B,260,740,Too low - counteroffer,12/04/2025 17:11:46,,,,,,,
Pair_VH56JI,1,5,Person A,350,650,Too low - counteroffer,12/04/2025 17:12:04,,,,,,,
Pair_VH56JI,1,6,Person B,250,750,Too low - counteroffer,12/04/2025 17:12:48,,,,,,,
Pair_VH56JI,1,7,Person A,340,660,Too low - counteroffer,12/04/2025 17:13:05,,,,,,,
Pair_VH56JI,1,8,Person B,275,725,Not accept,12/04/2025 17:13:20,,,,,,,
Pair_xkLtav,2,1,Person A,300,700,Accept - offer accepted,12/04/2025 17:10:11,,,,,,,
Pair_cPI0zi,1,1,Person B,250,750,Too low - counteroffer,12/04/2025 17:13:35,,,,,,,
Pair_cPI0zi,1,2,Person A,500,500,Too low - counteroffer,12/04/2025 17:14:03,,,,,,,
Pair_cPI0zi,1,3,Person B,240,760,Too low - counteroffer,12/04/2025 17:14:20,,,,,,,
Pair_cPI0zi,1,4,Person A,400,600,Too low - counteroffer,12/04/2025 17:14:35,,,,,,,
Pair_cPI0zi,1,5,Person B,230,770,Too low - counteroffer,12/04/2025 17:14:53,,,,,,,
Pair_cPI0zi,1,6,Person A,250,750,Accept - offer accepted,12/04/2025 17:15:12,,,,,,,
Pair_JJGajy,3,1,Person B,250,750,Too low - counteroffer,12/04/2025 17:14:11,,,,,,,
Pair_JJGajy,3,2,Person A,300,700,Accept - offer accepted,12/04/2025 17:15:12,,,,,,,
Pair_DdLt2p,3,1,Person B,202,798,Too low - counteroffer,12/04/2025 17:15:59,,,,,,,
Pair_DdLt2p,3,2,Person A,250,750,Accept - offer accepted,12/04/2025 17:16:32,,,,,,,
Pair_gRwUEN,2,1,Person B,500,500,Accept - offer accepted,12/04/2025 17:15:47,,,,,,,
Pair_iGWhhG,3,1,Person B,720,280,Not accept,12/06/2025 14:22:34,,,,,,,
Pair_XPaWEE,3,1,Person B,50,950,Too low - counteroffer,12/08/2025 09:28:01,,,,,,,
Pair_XPaWEE,3,2,Person A,349,651,Too low - counteroffer,12/08/2025 09:28:47,,,,,,,
Pair_XPaWEE,3,3,Person B,50,950,Too low - counteroffer,12/08/2025 09:29:15,,,,,,,
Pair_XPaWEE,3,4,Person A,200,800,Too low - counteroffer,12/08/2025 09:30:00,,,,,,,
Pair_XPaWEE,3,5,Person B,51,949,Too low - counteroffer,12/08/2025 09:31:02,,,,,,,
Pair_XPaWEE,3,6,Person A,194,806,Accept - offer accepted,12/08/2025 09:33:15,,,,,,,
Pair_s5lQqN,4,1,Person B,250,750,Too low - counteroffer,12/08/2025 09:27:17,,,,,,,
Pair_s5lQqN,4,2,Person A,300,700,Too low - counteroffer,12/08/2025 09:27:45,,,,,,,
Pair_s5lQqN,4,3,Person B,150,850,Too low - counteroffer,12/08/2025 09:29:38,,,,,,,
Pair_s5lQqN,4,4,Person A,275,725,Not accept,12/08/2025 09:30:25,,,,,,,
Pair_lVmzZC,4,1,Person A,300,700,Too low - counteroffer,12/08/2025 09:27:50,,,,,,,
Pair_lVmzZC,4,2,Person B,225,775,Too low - counteroffer,12/08/2025 09:28:39,,,,,,,
Pair_lVmzZC,4,3,Person A,290,710,Too low - counteroffer,12/08/2025 09:29:08,,,,,,,
Pair_lVmzZC,4,4,Person B,235,765,Too low - counteroffer,12/08/2025 09:29:42,,,,,,,
Pair_lVmzZC,4,5,Person A,280,720,Too low - counteroffer,12/08/2025 09:30:10,,,,,,,
Pair_lVmzZC,4,6,Person B,250,750,Too low - counteroffer,12/08/2025 09:30:41,,,,,,,
Pair_lVmzZC,4,7,Person A,270,730,Not accept,12/08/2025 09:30:54,,,1,-3,,,
Pair_EEwYfa,4,1,Person A,240,760,Too low - counteroffer,12/08/2025 09:29:16,,,,,,,
Pair_EEwYfa,4,2,Person B,225,775,Accept - offer accepted,12/08/2025 09:30:04,,,,,,,
Pair_p3glG9,2,1,Person B,0,1000,Too low - counteroffer,12/08/2025 13:23:58,,,,,,,
Pair_p3glG9,2,2,Person A,400,600,Better offer outside option,12/08/2025 13:24:57,,,,,,,
Pair_p3glG9,2,3,Person B,200,800,Too low - counteroffer,12/08/2025 13:25:41,,,,,,,
Pair_p3glG9,2,4,Person A,450,550,Better offer outside option,12/08/2025 13:25:58,,,,,,,
Pair_p3glG9,2,5,Person B,250,750,Too low - counteroffer,12/08/2025 13:26:21,,,,,,,
Pair_p3glG9,2,6,Person A,475,525,Better offer outside option,12/08/2025 13:26:44,,,,,,,
Pair_p3glG9,2,7,Person B,300,700,Accept - offer accepted,12/08/2025 13:27:18,,,,,,,
Pair_-mJ20S,3,1,Person B,0,1000,Too low - counteroffer,12/08/2025 13:25:25,,,,,,,
Pair_-mJ20S,3,2,Person A,496,504,Better offer outside option,12/08/2025 13:26:38,,,,,,,
Pair_-mJ20S,3,3,Person B,1,999,Too low - counteroffer,12/08/2025 13:27:03,,,,3,-1,,
Pair_-mJ20S,3,4,Person A,300,700,Accept - offer accepted,12/08/2025 13:27:27,,,,,,,
Pair_Fy2w8Z,2,1,Person B,300,700,Too low - counteroffer,12/08/2025 13:26:45,,,,,,,
Pair_Fy2w8Z,2,2,Person A,400,600,Better offer outside option,12/08/2025 13:28:10,,,,,,,
Pair_Fy2w8Z,2,3,Person B,300,700,Accept - offer accepted,12/08/2025 13:28:31,,,,,,,
Pair_GzqxNk,1,1,Person B,352,648,Not accept,12/17/2025 15:55:39,,,,,,,
Pair_7xfWzR,1,1,Person B,400,600,Better offer outside option,12/17/2025 15:57:21,,,,,,,
Pair_7xfWzR,1,2,Person A,525,475,Too low - counteroffer,12/17/2025 15:58:36,,,,,,,
Pair_7xfWzR,1,3,Person B,449,551,Too low - counteroffer,12/17/2025 16:00:09,,,,,,,
Pair_7xfWzR,1,4,Person A,526,474,Better offer outside option,12/17/2025 16:00:55,,,,,,,
Pair_7xfWzR,1,5,Person B,462,538,Accept - offer accepted,12/17/2025 16:02:22,,,,,,,
Pair_8ycBuH,1,1,Person B,260,740,Too low - counteroffer,12/18/2025 01:51:50,,,,,,,
Pair_8ycBuH,1,2,Person A,320,680,Too low - counteroffer,12/18/2025 01:54:12,,,,,,,
Pair_8ycBuH,1,3,Person B,270,730,Too low - counteroffer,12/18/2025 01:54:55,,,,,,,
Pair_8ycBuH,1,4,Person A,300,700,Accept - offer accepted,12/18/2025 01:55:56,,,,,,,
Pair_4bUUB8,4,1,Person B,850,150,Too low - counteroffer,12/18/2025 02:24:40,,,,,,,
Pair_4bUUB8,4,2,Person A,250,750,Too low - counteroffer,12/18/2025 02:25:03,,,,,,,
Pair_4bUUB8,4,3,Person B,900,100,Too low - counteroffer,12/18/2025 02:25:21,,,,,,,
Pair_4bUUB8,4,4,Person A,200,800,Too low - counteroffer,12/18/2025 02:26:04,,,,,,,
Pair_4bUUB8,4,5,Person B,850,150,Accept - offer accepted,12/18/2025 02:26:16,,,,,,,
Pair_H0xXi5,1,1,Person B,200,800,Too low - counteroffer,01/07/2026 18:09:09,,,,,,,
Pair_H0xXi5,1,2,Person A,300,700,Too low - counteroffer,01/07/2026 18:09:24,,,,,,,
Pair_H0xXi5,1,3,Person B,250,750,Too low - counteroffer,01/07/2026 18:09:36,,,,,,,
Pair_H0xXi5,1,4,Person A,300,700,Too low - counteroffer,01/07/2026 18:09:43,,,,,,,
Pair_H0xXi5,1,5,Person B,260,740,Accept - offer accepted,01/07/2026 18:10:02,,,,,,,
Pair_ffioiR,1,1,Person B,0,1000,Too low - counteroffer,01/07/2026 18:11:19,,,,,,,
Pair_ffioiR,1,2,Person A,900,100,Too low - counteroffer,01/07/2026 18:11:46,,,,,,,
Pair_ffioiR,1,3,Person B,500,500,Too low - counteroffer,01/07/2026 18:12:22,,,,,,,
Pair_ffioiR,1,4,Person A,800,200,Too low - counteroffer,01/07/2026 18:12:49,,,,,,,
Pair_ffioiR,1,5,Person B,620,380,Too low - counteroffer,01/07/2026 18:13:34,,,,,,,
Pair_ffioiR,1,6,Person A,750,250,Too low - counteroffer,01/07/2026 18:14:01,,,,,,,
Pair_ffioiR,1,7,Person B,600,400,Too low - counteroffer,01/07/2026 18:14:26,,,,,,,
Pair_ffioiR,1,8,Person A,300,700,Accept - offer accepted,01/07/2026 18:14:41,,,,,,,
Pair_4WTlvw,3,1,Person A,600,400,Too low - counteroffer,01/07/2026 18:17:58,,,,,,,
Pair_4WTlvw,3,2,Person B,500,500,Too low - counteroffer,01/07/2026 18:18:10,,,,,,,
Pair_4WTlvw,3,3,Person A,580,420,Accept - offer accepted,01/07/2026 18:18:23,,,,,,,
Pair_blXTlc,1,1,Person A,500,500,Too low - counteroffer,01/07/2026 19:53:41,,,,,,,
Pair_blXTlc,1,2,Person B,300,700,Accept - offer accepted,01/07/2026 19:54:09,,,,,,,
Pair_jSXGkw,2,1,Person A,325,675,Too low - counteroffer,01/14/2026 10:41:49,,,,,,,
Pair_jSXGkw,2,2,Person B,301,699,Accept - offer accepted,01/14/2026 10:42:10,,,2,-1,,,
Pair_ftS16L,2,1,Person A,600,400,Too low - counteroffer,01/14/2026 11:08:59,,,,,,,
Pair_ftS16L,2,2,Person B,800,200,Not accept,01/14/2026 11:09:28,,,,,,,
Pair_CaUFUD,5,1,Person A,521,479,Too low - counteroffer,01/27/2026 18:22:48,,,,,,,
Pair_CaUFUD,5,2,Person B,463,537,Not accept,01/27/2026 18:22:48,,,,,,,
Pair_rHdNaI,3,1,Person A,709,291,Too low - counteroffer,12/03/2025 13:31:08,,,,,,,
Pair_rHdNaI,3,2,Person B,359,641,Too low - counteroffer,12/03/2025 13:31:15,,,,,,,
Pair_rHdNaI,3,3,Person A,487,513,Too low - counteroffer,12/03/2025 13:31:20,,,,,,,
Pair_rHdNaI,3,4,Person B,517,483,Too low - counteroffer,12/03/2025 13:31:26,,,,,,,
Pair_rHdNaI,3,5,Person A,623,377,Accept - offer accepted,12/03/2025 13:31:31,,,,,,,
Pair_Te0AuE,2,1,Person A,500,500,Too low - counteroffer,12/03/2025 20:30:54,,,,,,,
Pair_Te0AuE,2,2,Person B,300,700,Accept - offer accepted,12/03/2025 20:31:23,,,,,,,
Pair_2LRlB4,3,1,Person B,200,800,Too low - counteroffer,12/03/2025 20:57:13,,,4,-1,,,
Pair_2LRlB4,3,2,Person A,685,315,Too low - counteroffer,12/03/2025 20:57:26,,,,,,,
Pair_2LRlB4,3,3,Person B,200,800,Accept - offer accepted,12/03/2025 20:57:34,,,,,,,
Pair_ldFBR2,4,1,Person B,0,1000,Too low - counteroffer,12/03/2025 22:12:31,,,,,,,
Pair_ldFBR2,4,2,Person A,750,250,Not accept,12/03/2025 22:12:54,,,,,,,
Pair_2WErlN,2,1,Person B,300,700,Not accept,12/04/2025 17:07:56,,,,,,,
Pair_UAFZDt,1,1,Person B,250,750,Better offer outside option,12/04/2025 17:08:34,,,,,,,
Pair_UAFZDt,1,2,Person A,300,700,Not accept,12/04/2025 17:08:56,,,,,,,
Pair_7chm8g,1,1,Person A,300,700,Accept - offer accepted,12/04/2025 17:09:03,,,,,,,
Pair_V0_Ee8,3,1,Person B,250,750,Too low - counteroffer,12/04/2025 17:14:04,,,,,,,
Pair_V0_Ee8,3,2,Person A,350,650,Too low - counteroffer,12/04/2025 17:14:21,,,,,,,
Pair_V0_Ee8,3,3,Person B,300,700,Accept - offer accepted,12/04/2025 17:14:41,,,,,,,
Pair_ELRYzb,1,1,Person B,300,700,Accept - offer accepted,12/04/2025 17:14:48,,,,,,,
Pair_lzfglh,4,1,Person B,500,500,Accept - offer accepted,12/08/2025 09:28:58,,,,,,,
Pair_PNNzkl,1,1,Person B,201,799,Too low - counteroffer,12/08/2025 09:32:15,,,,,,,
Pair_yDpFQw,1,1,Person B,348,652,Accept - offer accepted,12/08/2025 13:23:33,,,,,,,
Pair_qRlPq8,1,1,Person A,500,500,Better offer outside option,12/08/2025 13:25:46,,,,,,,
Pair_qRlPq8,1,2,Person B,400,600,Not accept,12/08/2025 13:26:20,,,,,,,
Pair_yexSuf,1,1,Person A,600,400,Accept - offer accepted,12/08/2025 13:27:07,,,,,,,
Pair_D0E3b-,4,1,Person A,0,1000,Accept - offer accepted,12/08/2025 15:07:11,,,,,2,-1,
Pair_DfsPAj,2,1,Person B,300,700,Accept - offer accepted,12/08/2025 22:20:52,,,,,,,
Pair_vgQL-x,1,1,Person B,300,700,Too low - counteroffer,12/09/2025 15:13:22,,,,,,,
Pair_vgQL-x,1,2,Person A,350,650,Too low - counteroffer,12/09/2025 15:13:49,,,,,,,
Pair_vgQL-x,1,3,Person B,300,700,Better offer outside option,12/09/2025 15:13:57,,,,,,,
Pair_vgQL-x,1,4,Person A,349,651,Not accept,12/09/2025 15:14:18,,,,,,,
Pair_zyeB40,2,1,Person A,600,400,Too low - counteroffer,12/18/2025 02:05:19,,,,,,,
Pair_zyeB40,2,2,Person B,700,300,Accept - offer accepted,12/18/2025 02:06:29,,,,,,,
Pair_VDJhT3,2,1,Person B,200,800,Too low - counteroffer,12/27/2025 17:54:30,,,,,,,
Pair_VDJhT3,2,2,Person A,500,500,Too low - counteroffer,12/27/2025 17:54:41,,,,,,,
Pair_VDJhT3,2,3,Person B,201,799,Too low - counteroffer,12/27/2025 17:55:07,,,,,,,
Pair_VDJhT3,2,4,Person A,400,600,Too low - counteroffer,12/27/2025 17:55:19,,,,,,,
Pair_VDJhT3,2,5,Person B,210,790,Too low - counteroffer,12/27/2025 17:55:41,,,,,,,
Pair_VDJhT3,2,6,Person A,350,650,Too low - counteroffer,12/27/2025 17:56:01,,,,,,,
Pair_VDJhT3,2,7,Person B,250,750,Accept - offer accepted,12/27/2025 17:56:31,,,,,,,
Pair_F6czEc,4,1,Person B,0,1000,Too low - counteroffer,01/07/2026 18:34:25,,,,,,,
Pair_F6czEc,4,2,Person A,750,250,Too low - counteroffer,01/07/2026 18:34:43,,,,,,,
Pair_F6czEc,4,3,Person B,200,800,Accept - offer accepted,01/07/2026 18:34:55,,,,,,,
Pair_TLyVvO,4,1,Person A,700,300,Too low - counteroffer,01/14/2026 10:10:43,,,,,,,
Pair_TLyVvO,4,2,Person B,150,850,Accept - offer accepted,01/14/2026 10:11:16,,,,,,,
Pair_d5xGTj,4,1,Person B,250,750,Accept - offer accepted,01/14/2026 10:18:38,,,,,,,
Pair_BsKdE1,4,1,Person B,500,500,Accept - offer accepted,01/14/2026 10:20:11,,,4,-1,,,
Pair_ThKtfV,2,1,Person B,500,500,Accept - offer accepted,01/14/2026 10:31:28,,,,,,,
Pair_9CdfRJ,2,1,Person A,500,500,Accept - offer accepted,01/14/2026 10:52:19,,,,,,,
Pair_gdYVp3,4,1,Person B,150,850,Too low - counteroffer,01/14/2026 10:59:56,,,,,,,
Pair_gdYVp3,4,2,Person A,200,800,Accept - offer accepted,01/14/2026 11:00:11,,,,,,,
Pair_0ChnJ2,2,1,Person A,500,500,Too low - counteroffer,01/14/2026 11:03:59,,,,,,,
Pair_0ChnJ2,2,2,Person B,275,725,Too low - counteroffer,01/14/2026 11:04:36,,,,,,,
Pair_0ChnJ2,2,3,Person A,300,700,Accept - offer accepted,01/14/2026 11:04:57,,,,,,,
Pair_OnSw28,2,1,Person A,500,500,Too low - counteroffer,12/02/2025 22:54:33,,,,,,,
Pair_OnSw28,2,2,Person B,698,302,Too low - counteroffer,12/02/2025 22:54:55,,,,,,,
Pair_OnSw28,2,3,Person A,197,803,Too low - counteroffer,12/02/2025 22:55:16,,,,,,,
Pair_OnSw28,2,4,Person B,363,637,Too low - counteroffer,12/02/2025 22:55:26,,,,,,,
Pair_OnSw28,2,5,Person A,443,557,Better offer outside option,12/02/2025 22:55:33,,,,,,,
Pair_OnSw28,2,6,Person B,227,773,Better offer outside option,12/02/2025 22:55:42,,,,,,,
Pair_OnSw28,2,7,Person A,250,750,Accept - offer accepted,12/02/2025 22:56:16,,,,,,,
Pair_2gQvZQ,3,1,Person A,475,525,Too low - counteroffer,12/03/2025 16:26:56,,,,,,,
Pair_2gQvZQ,3,2,Person B,311,689,Too low - counteroffer,12/03/2025 16:27:13,,,,,,,
Pair_2gQvZQ,3,3,Person A,517,483,Better offer outside option,12/03/2025 16:27:23,,,,,,,
Pair_2gQvZQ,3,4,Person B,340,660,Too low - counteroffer,12/03/2025 16:27:36,,,,,,,
Pair_2gQvZQ,3,5,Person A,394,606,Accept - offer accepted,12/03/2025 16:27:53,,,,,,,
Pair_EeD8MY,3,1,Person A,500,500,Too low - counteroffer,12/03/2025 18:18:03,,,,,,,
Pair_EeD8MY,3,2,Person B,550,450,Accept - offer accepted,12/03/2025 18:18:27,,,,,,,
Pair_esOVfG,2,1,Person B,300,700,Too low - counteroffer,12/03/2025 21:24:27,,,,,,,
Pair_esOVfG,2,2,Person A,733,267,Too low - counteroffer,12/03/2025 21:24:40,,,,,,,
Pair_esOVfG,2,3,Person B,400,600,Too low - counteroffer,12/03/2025 21:25:04,,,,,,,
Pair_esOVfG,2,4,Person A,500,500,Too low - counteroffer,12/03/2025 21:25:17,,,,,,,
Pair_esOVfG,2,5,Person B,400,600,Not accept,12/03/2025 21:25:37,,,,,,,
Pair_XcWtwe,2,1,Person A,482,518,Accept - offer accepted,12/03/2025 23:07:22,,,2,-1,,,
Pair_J6w6rW,3,1,Person A,500,500,Too low - counteroffer,12/04/2025 17:09:22,,,,,,,
Pair_J6w6rW,3,2,Person B,250,750,Too low - counteroffer,12/04/2025 17:10:12,,,,,,,
Pair_J6w6rW,3,3,Person A,350,650,Accept - offer accepted,12/04/2025 17:12:17,,,,,,,
Pair_gLLvsZ,2,1,Person B,250,750,Accept - offer accepted,12/04/2025 17:09:00,,,,,,,
Pair_Wu8LuX,4,1,Person B,350,650,Accept - offer accepted,12/04/2025 17:11:21,,,,,,,
Pair_TmeCS-,2,1,Person B,250,750,Too low - counteroffer,12/04/2025 17:11:19,,,,,,,
Pair_TmeCS-,2,2,Person A,310,690,Not accept,12/04/2025 17:11:40,,,,,,,
Pair_hiJ1QS,2,1,Person B,0,1000,Too low - counteroffer,12/04/2025 17:15:34,,,,,,,
Pair_hiJ1QS,2,2,Person A,250,750,Accept - offer accepted,12/04/2025 17:15:57,,,,,,,
Pair_ZxgUbw,4,1,Person B,200,800,Too low - counteroffer,12/06/2025 14:24:02,,,,,,,
Pair_ZxgUbw,4,2,Person A,330,670,Better offer outside option,12/06/2025 14:24:34,,,,,,,
Pair_ZxgUbw,4,3,Person B,200,800,Not accept,12/06/2025 14:25:14,,,,,,,
Pair_FhMLtg,3,1,Person B,300,700,Accept - offer accepted,12/08/2025 09:28:49,,,,,,,
Pair_x9pkJL,2,1,Person A,400,600,Too low - counteroffer,12/08/2025 09:30:19,,,1,-1,,,
Pair_x9pkJL,2,2,Person B,800,200,Too low - counteroffer,12/08/2025 09:30:49,,,,,,,
Pair_x9pkJL,2,3,Person A,300,700,Accept - offer accepted,12/08/2025 09:31:26,,,,,,,
Pair_eXp7_U,2,1,Person A,1000,0,Better offer outside option,12/08/2025 09:31:24,,,4,-1,,,
Pair_eXp7_U,2,2,Person B,148,852,Too low - counteroffer,12/08/2025 09:31:50,,,,,,,
Pair_eXp7_U,2,3,Person A,499,501,Better offer outside option,12/08/2025 09:32:10,,,,,,,
Pair_eXp7_U,2,4,Person B,212,788,Too low - counteroffer,12/08/2025 09:32:42,,,,,,,
Pair_eXp7_U,2,5,Person A,492,508,Better offer outside option,12/08/2025 09:32:57,,,,,,,
Pair_eXp7_U,2,6,Person B,300,700,Too low - counteroffer,12/08/2025 09:33:44,,,,,,,
Pair_eXp7_U,2,7,Person A,451,549,Not accept,12/08/2025 09:33:54,,,,,,,
Pair_CbQElH,3,1,Person B,230,770,Too low - counteroffer,12/08/2025 09:32:11,,,,,,,
Pair_CbQElH,3,2,Person A,250,750,Accept - offer accepted,12/08/2025 09:32:30,,,,,,,
Pair_oGsNgW,4,1,Person B,500,500,Accept - offer accepted,12/08/2025 13:23:06,,,,,,,
Pair_HhhofB,3,1,Person A,600,400,Too low - counteroffer,12/08/2025 13:25:51,,,,,,,
Pair_HhhofB,3,2,Person B,500,500,Accept - offer accepted,12/08/2025 13:27:06,,,,,,,
Pair_jDTeJV,1,1,Person B,250,750,Accept - offer accepted,12/08/2025 13:28:50,,,,,,,
Pair_pZfd42,3,1,Person A,500,500,Too low - counteroffer,12/08/2025 15:05:13,,,,,,,
Pair_pZfd42,3,2,Person B,300,700,Too low - counteroffer,12/08/2025 15:06:07,,,,,,,
Pair_pZfd42,3,3,Person A,450,550,Too low - counteroffer,12/08/2025 15:06:29,,,,,,,
Pair_pZfd42,3,4,Person B,315,685,Accept - offer accepted,12/08/2025 15:07:14,,,,,,,
Pair__KW6E4,4,1,Person B,50,950,Too low - counteroffer,12/08/2025 22:29:26,,,,,,,
Pair__KW6E4,4,2,Person A,500,500,Too low - counteroffer,12/08/2025 22:31:08,,,,,,,
Pair__KW6E4,4,3,Person B,150,850,Accept - offer accepted,12/08/2025 22:32:09,,,,,,,
Pair_ih2eMC,4,1,Person A,240,760,Too low - counteroffer,12/08/2025 22:35:57,,,,,,,
Pair_ih2eMC,4,2,Person B,200,800,Better offer outside option,12/08/2025 22:36:44,,,,,,,
Pair_ih2eMC,4,3,Person A,230,770,Too low - counteroffer,12/08/2025 22:37:09,,,,,,,
Pair_ih2eMC,4,4,Person B,210,790,Too low - counteroffer,12/08/2025 22:37:48,,,,,,,
Pair_ih2eMC,4,5,Person A,225,775,Accept - offer accepted,12/08/2025 22:38:23,,,,,,,
Pair_rEa9Eg,1,1,Person B,300,700,Too low - counteroffer,12/09/2025 15:12:23,,,,,,,
Pair_rEa9Eg,1,2,Person A,405,595,Accept - offer accepted,12/09/2025 15:12:55,,,,,,,
Pair_4OE_We,4,1,Person A,300,700,Too low - counteroffer,12/09/2025 15:13:49,,,,,,,
Pair_4OE_We,4,2,Person B,200,800,Not accept,12/09/2025 15:14:02,,,,,,,
Pair_9782z_,1,1,Person A,300,700,Better offer outside option,12/09/2025 15:15:00,,,,,,,
Pair_9782z_,1,2,Person B,250,750,Accept - offer accepted,12/09/2025 15:15:13,,,,,,,
Pair_BDK47K,1,1,Person B,461,539,Too low - counteroffer,12/13/2025 13:26:26,,,,,,,
Pair_BDK47K,1,2,Person A,484,516,Too low - counteroffer,12/13/2025 13:26:37,,,,,,,
Pair_BDK47K,1,3,Person B,585,415,Too low - counteroffer,12/13/2025 13:26:48,,,,,,,
Pair_BDK47K,1,4,Person A,606,394,Too low - counteroffer,12/13/2025 13:26:56,,,,,,,
Pair_BDK47K,1,5,Person B,358,642,Better offer outside option,12/13/2025 13:27:03,,,,,,,
Pair_BDK47K,1,6,Person A,572,428,Too low - counteroffer,12/13/2025 13:27:08,,,,,,,
Pair_BDK47K,1,7,Person B,640,360,Better offer outside option,12/13/2025 13:27:15,,,,,,,
Pair_BDK47K,1,8,Person A,693,307,Too low - counteroffer,12/13/2025 13:27:26,,,,,,,
Pair_BDK47K,1,9,Person B,230,770,Too low - counteroffer,12/13/2025 13:27:37,,,,,,,
Pair_BDK47K,1,10,Person A,546,454,Not accept,12/13/2025 13:27:42,,,,,,,
Pair_wQWDhc,3,1,Person B,201,799,Too low - counteroffer,01/07/2026 18:15:58,,,,,,,
Pair_wQWDhc,3,2,Person A,500,500,Better offer outside option,01/07/2026 18:16:25,,,,,,,
Pair_wQWDhc,3,3,Person B,250,750,Accept - offer accepted,01/07/2026 18:16:44,,,,,,,
Pair_e2K7va,2,1,Person A,800,200,Too low - counteroffer,01/07/2026 20:51:23,,,,,,,
Pair_e2K7va,2,2,Person B,700,300,Accept - offer accepted,01/07/2026 20:53:05,,,,,,,
Pair_VB6kmA,1,1,Person B,386,614,Too low - counteroffer,01/10/2026 13:34:46,,,,,,,
Pair_VB6kmA,1,2,Person A,300,700,Too low - counteroffer,01/10/2026 13:35:05,,,,,,,
Pair_VB6kmA,1,3,Person B,350,650,Accept - offer accepted,01/10/2026 13:35:29,,,,,,,
Pair_OQ6T13,3,1,Person A,300,700,Too low - counteroffer,01/10/2026 13:43:57,,,,,,,
Pair_OQ6T13,3,2,Person B,200,800,Better offer outside option,01/10/2026 13:44:22,,,,,,,
Pair_OQ6T13,3,3,Person A,250,750,Accept - offer accepted,01/10/2026 13:44:34,,,,,,,
Pair_00tUrS,3,1,Person A,500,500,Too low - counteroffer,01/10/2026 13:48:19,,,,,,,
Pair_00tUrS,3,2,Person B,600,400,Too low - counteroffer,01/10/2026 13:50:02,,,,,,,
Pair_00tUrS,3,3,Person A,500,500,Too low - counteroffer,01/10/2026 13:50:16,,,,,,,
